latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.40154,111.83186,370.06,1.28,1.12,2026-09-24,805,Aqua,MODIS,75,6.1NRT,298.79,150.72,D
-3.39994,111.84294,381.14,1.27,1.12,2026-09-24,805,Aqua,MODIS,100,6.1NRT,300.51,210.29,D
-3.39835,111.854,326.08,1.27,1.12,2026-09-24,805,Aqua,MODIS,56,6.1NRT,296.31,19.94,D
-3.39727,111.99896,317.74,1.24,1.11,2026-09-24,805,Aqua,MODIS,52,6.1NRT,297.29,10.73,D
-3.39015,111.84151,364.52,1.27,1.12,2026-09-24,805,Aqua,MODIS,100,6.1NRT,298.41,126.92,D
-3.38914,111.98672,322.2,1.25,1.11,2026-09-24,805,Aqua,MODIS,76,6.1NRT,295.89,17.84,D
-3.38758,111.99756,349.59,1.24,1.11,2026-09-24,805,Aqua,MODIS,95,6.1NRT,298.55,75.19,D
-3.37802,113.84058,310.43,1.03,1.01,2026-09-24,805,Aqua,MODIS,50,6.1NRT,294.75,5.47,D
-3.37789,111.99615,335.52,1.24,1.11,2026-09-24,805,Aqua,MODIS,87,6.1NRT,296.37,40.13,D
-3.369,111.84972,322.86,1.27,1.12,2026-09-24,805,Aqua,MODIS,51,6.1NRT,296.24,18.61,D
-3.36549,111.85394,326.43,1.27,1.12,2026-09-24,805,Aqua,MODIS,80,6.1NRT,295.41,25.7,D
-3.2763,112.19257,321.95,1.21,1.09,2026-09-24,805,Aqua,MODIS,65,6.1NRT,295.35,15.67,D
-3.27403,112.34097,320.32,1.19,1.08,2026-09-24,805,Aqua,MODIS,56,6.1NRT,296.85,14.46,D
-3.27252,112.35128,335.38,1.18,1.08,2026-09-24,805,Aqua,MODIS,87,6.1NRT,297.48,38.45,D
-3.26827,112.18066,327.33,1.21,1.09,2026-09-24,805,Aqua,MODIS,58,6.1NRT,296.18,23.02,D
-3.26674,112.19118,340.77,1.21,1.09,2026-09-24,805,Aqua,MODIS,90,6.1NRT,295.9,48.52,D
-3.25364,111.85456,334.85,1.26,1.12,2026-09-24,805,Aqua,MODIS,87,6.1NRT,295.68,41.3,D
-3.24227,111.86414,331.4,1.26,1.12,2026-09-24,805,Aqua,MODIS,84,6.1NRT,295.77,32.01,D
-3.23776,115.42979,311.71,1.01,1,2026-09-24,805,Aqua,MODIS,49,6.1NRT,295.81,5.03,D
-3.23561,112.272,316.71,1.2,1.09,2026-09-24,805,Aqua,MODIS,47,6.1NRT,297.98,10.97,D
-3.22952,111.95135,318.32,1.25,1.11,2026-09-24,805,Aqua,MODIS,43,6.1NRT,295.12,11.77,D
-3.22794,111.96219,322.86,1.24,1.11,2026-09-24,805,Aqua,MODIS,73,6.1NRT,296.18,18.15,D
-3.22611,112.2706,320.4,1.2,1.09,2026-09-24,805,Aqua,MODIS,72,6.1NRT,298.01,15.83,D
-3.21825,111.96078,338.05,1.24,1.11,2026-09-24,805,Aqua,MODIS,89,6.1NRT,297.04,43.42,D
-3.21668,111.97161,351.62,1.24,1.11,2026-09-24,805,Aqua,MODIS,96,6.1NRT,298.26,78.9,D
-3.2151,111.98243,342.32,1.24,1.11,2026-09-24,805,Aqua,MODIS,91,6.1NRT,297.35,55.1,D
-3.21485,111.91595,336.09,1.25,1.11,2026-09-24,805,Aqua,MODIS,88,6.1NRT,295.38,40.82,D
-3.21333,115.53407,313.1,1.01,1.01,2026-09-24,805,Aqua,MODIS,32,6.1NRT,295.79,5.43,D
-3.20542,111.98106,381.95,1.24,1.11,2026-09-24,805,Aqua,MODIS,100,6.1NRT,301.06,212.05,D
-3.20386,111.99184,356.2,1.24,1.11,2026-09-24,805,Aqua,MODIS,98,6.1NRT,296.86,95.06,D
-3.19575,111.97964,349.74,1.24,1.11,2026-09-24,805,Aqua,MODIS,95,6.1NRT,297.18,74.4,D
-3.19419,111.99043,341.84,1.24,1.11,2026-09-24,805,Aqua,MODIS,91,6.1NRT,295.8,52.65,D
-3.18192,112.34293,357.38,1.18,1.08,2026-09-24,805,Aqua,MODIS,86,6.1NRT,299.01,91.08,D
-3.17486,111.98759,316.31,1.24,1.11,2026-09-24,805,Aqua,MODIS,33,6.1NRT,295.77,8.9,D
-3.16873,112.03049,338,1.23,1.1,2026-09-24,805,Aqua,MODIS,84,6.1NRT,297.29,42.46,D
-3.1652,111.98618,317.36,1.24,1.11,2026-09-24,805,Aqua,MODIS,52,6.1NRT,296.29,10.21,D
-3.15909,112.02908,322.91,1.23,1.1,2026-09-24,805,Aqua,MODIS,38,6.1NRT,295.88,16.75,D
-3.15803,112.30794,352.12,1.19,1.08,2026-09-24,805,Aqua,MODIS,79,6.1NRT,300.22,76.42,D
-3.15004,112.29625,320.48,1.19,1.08,2026-09-24,805,Aqua,MODIS,74,6.1NRT,297.92,15.01,D
-3.1014,112.32475,323.48,1.18,1.08,2026-09-24,805,Aqua,MODIS,56,6.1NRT,298.75,16.86,D
-3.09534,112.47594,317.97,1.16,1.07,2026-09-24,805,Aqua,MODIS,70,6.1NRT,298.37,12.08,D
-3.09194,112.32337,324.96,1.18,1.08,2026-09-24,805,Aqua,MODIS,62,6.1NRT,297.97,19.55,D
-3.08825,112.47877,326.2,1.16,1.07,2026-09-24,805,Aqua,MODIS,80,6.1NRT,298.93,22.5,D
-3.08142,112.39495,322.13,1.17,1.08,2026-09-24,805,Aqua,MODIS,66,6.1NRT,297.4,16.93,D
-3.06254,112.70497,310.87,1.13,1.06,2026-09-24,805,Aqua,MODIS,47,6.1NRT,296.22,5.15,D
-3.02347,112.39687,320.07,1.17,1.08,2026-09-24,805,Aqua,MODIS,69,6.1NRT,296.72,13.18,D
-3.00816,112.39938,325.74,1.17,1.08,2026-09-24,805,Aqua,MODIS,78,6.1NRT,297.42,19.43,D
-2.99875,112.39801,329.78,1.17,1.08,2026-09-24,805,Aqua,MODIS,83,6.1NRT,297.04,25.87,D
-2.99402,110.89262,318.21,1.46,1.19,2026-09-24,805,Aqua,MODIS,68,6.1NRT,294.97,16.93,D
-2.97771,110.70692,321.44,1.5,1.21,2026-09-24,805,Aqua,MODIS,43,6.1NRT,295.69,22.03,D
-2.97587,110.71992,325.65,1.5,1.21,2026-09-24,805,Aqua,MODIS,0,6.1NRT,294.92,28.69,D
-2.97395,112.67548,316.45,1.13,1.06,2026-09-24,805,Aqua,MODIS,66,6.1NRT,297.02,10.14,D
-2.97047,110.71255,349.52,1.5,1.21,2026-09-24,805,Aqua,MODIS,90,6.1NRT,296.86,95.61,D
-2.96183,110.69802,315.45,1.5,1.21,2026-09-24,805,Aqua,MODIS,23,6.1NRT,294.74,13.06,D
-2.95991,110.71103,319.31,1.5,1.21,2026-09-24,805,Aqua,MODIS,51,6.1NRT,294.51,18.61,D
-2.94852,110.78848,316.57,1.48,1.2,2026-09-24,805,Aqua,MODIS,46,6.1NRT,296.56,11.74,D
-2.94664,110.80128,322.31,1.47,1.2,2026-09-24,805,Aqua,MODIS,73,6.1NRT,296.97,20.34,D
-2.93691,115.82873,316.09,1.03,1.02,2026-09-24,805,Aqua,MODIS,67,6.1NRT,297.38,7.94,D
-2.90983,115.88911,318.34,1.04,1.02,2026-09-24,805,Aqua,MODIS,71,6.1NRT,297.5,10.68,D
-2.89273,114.87453,319.91,1,1,2026-09-24,805,Aqua,MODIS,73,6.1NRT,301.12,9.36,D
-2.88968,110.97324,313.66,1.43,1.18,2026-09-24,805,Aqua,MODIS,47,6.1NRT,295.7,10.84,D
-2.88556,110.36745,320.69,1.58,1.24,2026-09-24,805,Aqua,MODIS,48,6.1NRT,296.21,18.84,D
-2.87465,114.55509,325.21,1,1,2026-09-24,805,Aqua,MODIS,56,6.1NRT,299.26,13.87,D
-2.8708,110.39328,340.1,1.58,1.24,2026-09-24,805,Aqua,MODIS,89,6.1NRT,295.64,64.88,D
